record,created_date,unique_key,agency_name,description,street_name,resolution_description,community_board,latitude,longitude
51,38548080,2018-02-25T18:26:17.000,DOT,Department of Transportation,Pothole,7 AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,07 QUEENS,40.79059407180536,-73.83824350555875
52,38546362,2018-02-25T18:23:43.000,DOT,Department of Transportation,Pothole,138 PLACE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,12 QUEENS,40.69744309503645,-73.81151226277619
53,38548040,2018-02-25T18:20:56.000,DOT,Department of Transportation,Pothole,33 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,01 QUEENS,40.76484968245572,-73.92085514844428
54,38548181,2018-02-25T18:20:28.000,DOT,Department of Transportation,Pothole,AVENUE U,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,15 BROOKLYN,40.5988619625184,-73.95613274802948
55,38545793,2018-02-25T18:20:11.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,01 QUEENS,40.761225853018914,-73.9237869767819
56,38548594,2018-02-25T18:19:23.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,01 QUEENS,40.76615269007771,-73.91977780939396
57,38545336,2018-02-25T18:18:49.000,DOT,Department of Transportation,Pothole,,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,12 BROOKLYN,40.62465335875158,-73.98098663459571
58,38549138,2018-02-25T18:14:51.000,DOT,Department of Transportation,Pothole,DOUGLASTON PARKWAY,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,11 QUEENS,40.76316066757309,-73.74320777754183
59,38548053,2018-02-25T18:14:48.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,01 QUEENS,40.76539402483422,-73.91819032558956
60,38548595,2018-02-25T18:13:42.000,DOT,Department of Transportation,Pothole,30 AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,01 QUEENS,40.76528957840412,-73.91798468451414
61,38545783,2018-02-25T18:13:32.000,DOT,Department of Transportation,Pothole,30 AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,01 QUEENS,40.76567442248581,-73.91880368283188
62,38547487,2018-02-25T18:13:20.000,DOT,Department of Transportation,Pothole,WEST  116 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,10 MANHATTAN,40.801724615361195,-73.94899185073014
63,38549139,2018-02-25T18:12:12.000,DOT,Department of Transportation,Pothole,30 AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,01 QUEENS,40.76715602754129,-73.92197153557437
64,38545797,2018-02-25T18:10:40.000,DOT,Department of Transportation,Pothole,PENNSYLVANIA AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,05 BROOKLYN,40.65117254213723,-73.88508159129591
65,38546914,2018-02-25T18:00:42.000,DOT,Department of Transportation,Pothole,WOEHRLE AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,03 STATEN ISLAND,40.55576084275855,-74.18081870876314
66,38548681,2018-02-25T17:59:48.000,DOT,Department of Transportation,Pothole,DIERAUF STREET,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,03 STATEN ISLAND,40.56148860529623,-74.1794917909925
67,38548178,2018-02-25T17:58:17.000,DOT,Department of Transportation,Pothole,WOODROW ROAD,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,03 STATEN ISLAND,40.55402860504091,-74.18443419302797
68,38546478,2018-02-25T17:57:42.000,DOT,Department of Transportation,Pothole,ALBERT ROAD,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,10 QUEENS,40.667498420623424,-73.83531942705534
69,38548682,2018-02-25T17:57:16.000,DOT,Department of Transportation,Pothole,WOODROW ROAD,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,03 STATEN ISLAND,40.55402860504091,-74.18443419302797
70,38547521,2018-02-25T17:55:10.000,DOT,Department of Transportation,Pothole,22 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,01 QUEENS,40.7579238447464,-73.93731227650946
71,38545873,2018-02-25T17:55:07.000,DOT,Department of Transportation,Pothole,WOODROW ROAD,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,03 STATEN ISLAND,40.55425679330372,-74.18420451295782
72,38547047,2018-02-25T17:53:27.000,DOT,Department of Transportation,Pothole,WOODROW ROAD,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,03 STATEN ISLAND,40.55425679330372,-74.18420451295782
73,38545775,2018-02-25T17:50:29.000,DOT,Department of Transportation,Pothole,90 ROAD,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,09 QUEENS,40.687439271196816,-73.86024379834693
74,38547489,2018-02-25T17:40:16.000,DOT,Department of Transportation,Pothole,EAST  173 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,03 BRONX,40.84274480577768,-73.90264814270843
75,38547043,2018-02-25T17:37:30.000,DOT,Department of Transportation,Pothole,,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,12 BROOKLYN,40.62465335875158,-73.98098663459571
76,38547522,2018-02-25T17:25:17.000,DOT,Department of Transportation,Pothole,80 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,05 QUEENS,40.72587170220312,-73.8798765263202
77,38548029,2018-02-25T17:19:59.000,DOT,Department of Transportation,Pothole,9 AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,04 MANHATTAN,40.76757958174177,-73.98596027624714
78,38549155,2018-02-25T16:57:45.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,02 STATEN ISLAND,40.59281531255997,-74.07103388942181
79,38546371,2018-02-25T16:56:38.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,10 MANHATTAN,40.802024093663604,-73.94968150946016
80,38549231,2018-02-25T16:56:18.000,DOT,Department of Transportation,Pothole,BELLAMY LOOP,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,10 BRONX,40.87260984935065,-73.82565618811587
81,38549648,2018-02-25T16:48:45.000,DOT,Department of Transportation,Pothole,HIRSCH LANE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,02 STATEN ISLAND,40.61496159322381,-74.16764496544091
82,38549141,2018-02-25T16:47:50.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,04 BROOKLYN,40.69782418505623,-73.9080240327918
83,38547545,2018-02-25T16:45:59.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,04 BROOKLYN,40.69825571024945,-73.90877356026989
84,38546952,2018-02-25T16:42:05.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,0 Unspecified,40.714008026159085,-73.9240393633836
85,38549156,2018-02-25T16:39:08.000,DOT,Department of Transportation,Pothole,METROPOLITAN AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,05 QUEENS,40.71319148650971,-73.91069377466859
