record,created_date,unique_key,agency_name,description,street_name,resolution_description,community_board,latitude,longitude
53,38613498,2018-03-05T18:43:53.000,DOT,Department of Transportation,Pothole,RUSSELL STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,03 STATEN ISLAND,40.53907568241034,-74.14992624887874
54,38614493,2018-03-05T18:33:02.000,DOT,Department of Transportation,Pothole,CADMAN PLAZA EAST,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,02 BROOKLYN,40.70106636235463,-73.9896998082781
55,38617429,2018-03-05T18:22:25.000,DOT,Department of Transportation,Pothole,YELLOWSTONE BOULEVARD,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,06 QUEENS,40.71698055417104,-73.85746189367852
56,38616504,2018-03-05T18:14:16.000,DOT,Department of Transportation,Pothole,85 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,09 QUEENS,40.695851732766876,-73.86002421531678
57,38614503,2018-03-05T18:04:50.000,DOT,Department of Transportation,Pothole,25 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,01 QUEENS,40.75940041553148,-73.93228261762809
58,38613549,2018-03-05T18:04:20.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,07 BROOKLYN,40.660398593132086,-73.98037092205514
59,38616453,2018-03-05T18:02:12.000,DOT,Department of Transportation,Pothole,BOWERY,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,03 MANHATTAN,40.71996711103727,-73.99417744257974
60,38611490,2018-03-05T17:51:21.000,DOT,Department of Transportation,Pothole,BLEECKER STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,02 MANHATTAN,40.72937627538756,-74.00160557862418
61,38616080,2018-03-05T17:49:56.000,DOT,Department of Transportation,Pothole,39 STREET,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,12 BROOKLYN,40.642715176723165,-73.98973403928191
62,38613117,2018-03-05T17:49:53.000,DOT,Department of Transportation,Pothole,,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,05 QUEENS,40.691435607096956,-73.89062312013306
63,38612539,2018-03-05T17:48:14.000,DOT,Department of Transportation,Pothole,QUEENS BOULEVARD,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,02 QUEENS,40.74303764893263,-73.91761511080148
64,38613522,2018-03-05T17:47:09.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,05 QUEENS,40.70299771958722,-73.91106809219384
65,38614109,2018-03-05T17:44:31.000,DOT,Department of Transportation,Pothole,,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,02 STATEN ISLAND,40.59612702995344,-74.11078712558009
66,38613520,2018-03-05T17:41:44.000,DOT,Department of Transportation,Pothole,TODT HILL ROAD,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,02 STATEN ISLAND,40.58834814606803,-74.11090743627238
67,38613521,2018-03-05T17:41:38.000,DOT,Department of Transportation,Pothole,NOME AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,02 STATEN ISLAND,40.585158404015324,-74.15604212988247
68,38613494,2018-03-05T17:33:11.000,DOT,Department of Transportation,Pothole,CASTLE HILL AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,09 BRONX,40.833857899105034,-73.85157049414252
69,38612525,2018-03-05T17:32:28.000,DOT,Department of Transportation,Pothole,LAKE AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,01 STATEN ISLAND,40.627623345433584,-74.15183637123457
70,38615080,2018-03-05T17:31:27.000,DOT,Department of Transportation,Pothole,,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,05 BROOKLYN,40.68536134845638,-73.88220304267186
71,38618448,2018-03-05T17:30:41.000,DOT,Department of Transportation,Pothole,EAST  230 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,12 BRONX,40.888345278858324,-73.84910161413772
72,38617438,2018-03-05T17:29:43.000,DOT,Department of Transportation,Pothole,CROSS BRONX EXPRESSWAY,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,01 BRONX,40.82441160491384,-73.82490807588638
73,38615508,2018-03-05T17:28:13.000,DOT,Department of Transportation,Pothole,166 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,07 QUEENS,40.782662689808134,-73.79717391981545
74,38612540,2018-03-05T17:25:03.000,DOT,Department of Transportation,Pothole,JAMAICA AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,09 QUEENS,40.69199905510239,-73.86312266579444
75,38613507,2018-03-05T17:24:40.000,DOT,Department of Transportation,Pothole,SPENCER STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,03 BROOKLYN,40.69414399612075,-73.95510000799341
76,38614117,2018-03-05T17:20:18.000,DOT,Department of Transportation,Pothole,50 STREET,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,12 BROOKLYN,40.63378104402121,-73.9915440561063
77,38615076,2018-03-05T17:18:30.000,DOT,Department of Transportation,Pothole,,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,02 STATEN ISLAND,40.58275847020916,-74.13040002725637
78,38615075,2018-03-05T17:18:24.000,DOT,Department of Transportation,Pothole,,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,09 BRONX,40.825954879856,-73.85955541332464
79,38616510,2018-03-05T17:18:15.000,DOT,Department of Transportation,Pothole,FLUSHING AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,01 BROOKLYN,40.69916706709911,-73.955475297832
80,38616066,2018-03-05T17:17:45.000,DOT,Department of Transportation,Pothole,FLUSHING AVENUE,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,01 BROOKLYN,40.69923819363002,-73.95486576682472
81,38612497,2018-03-05T17:17:03.000,DOT,Department of Transportation,Pothole,QUEENS BOULEVARD,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,04 QUEENS,40.7377895841386,-73.8826804962047
82,38615504,2018-03-05T17:14:02.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,03 STATEN ISLAND,40.54301211711667,-74.198525892094
83,38618364,2018-03-05T17:12:28.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,02 STATEN ISLAND,40.57973444448936,-74.11422669638762
84,38616820,2018-03-05T17:10:30.000,DOT,Department of Transportation,Pothole,,The Department of Transportation requires 6 months to respond to this type of complaint.  Please note your Service Request number for future reference.,0 Unspecified,40.84166283296225,-73.86409413364252
